i,q,p_L
95,1.85,0.4205567046386533
95,1.9,0.41459274511207517
95,1.95,0.4098341547015716
95,2.0,0.40450900175919235
95,2.05,0.39946353168138354
95,2.1,0.39460135969707855
95,2.15,0.3909130522054755
95,2.2,0.3867691020543499
95,2.25,0.38197982455078383
95,2.3,0.37776120401716906
95,2.35,0.3736392786202182
95,2.4,0.37164266542159713
95,2.45,0.3669488388067114
95,2.5,0.3635677081805316
95,2.55,0.3593416153864094
95,2.6,0.35595693595850386
95,2.65,0.3529033654939627
95,2.7,0.351818777873223
95,2.75,0.34804503353775573
95,2.8,0.34459104751965247
95,2.85,0.3412835657048342
95,2.9,0.3377249363727095
95,2.95,0.3355498555554993
100,0.0,0.5370436498801388
100,0.05,0.5358330274152415
100,0.1,0.534425362080508
100,0.15,0.5336000977280136
100,0.2,0.5327494579246801
100,0.25,0.5319897692898604
100,0.3,0.5310377706320324
100,0.35,0.5289152961604344
100,0.4,0.5279989212337048
100,0.45,0.5269660601176925
100,0.5,0.5249093323305191
100,0.55,0.524320897137945
100,0.6,0.5204656677281667
100,0.65,0.5179860606059479
100,0.7,0.5165566754947877
100,0.75,0.513880653060031
100,0.8,0.5109789525855492
100,0.85,0.5080254514491982
100,0.9,0.5055709038488317
100,0.95,0.5037485201332617
100,1.0,0.4972391291949577
100,1.05,0.49411579715587434
100,1.1,0.4893041665429803
100,1.15,0.4858397483996941
100,1.2,0.48269267092512436
100,1.25,0.4773617268757274
100,1.3,0.4729169973958959
100,1.35,0.4670736321156267
100,1.4,0.46220892819079873
100,1.45,0.45613025557091247
100,1.5,0.4507204894559086
100,1.55,0.4457796839736017
100,1.6,0.438488326376429
100,1.65,0.4335524233592489
100,1.7,0.42775979374960543
100,1.75,0.4215332497231749
100,1.8,0.41552578481933694
100,1.85,0.409782545261666
100,1.9,0.40470010524181077
100,1.95,0.3997276734175704
100,2.0,0.39414568779694975
100,2.05,0.38924960393133234
100,2.1,0.38451278797863486
100,2.15,0.379761911293066
100,2.2,0.37643624277603677
100,2.25,0.37212225314626785
100,2.3,0.36886071792061015
100,2.35,0.36404297862163804
100,2.4,0.36023873208351576
100,2.45,0.35727519324881635
100,2.5,0.3549921609187541
100,2.55,0.34897830594791407
100,2.6,0.3467327891337212
100,2.65,0.34360441779945383
100,2.7,0.3421012782275139
100,2.75,0.33862679955722336
100,2.8,0.33530883401176803
100,2.85,0.3324235712838567
100,2.9,0.3307333648428428
100,2.95,0.3266306504046621
105,0.0,0.5327915220033805
105,0.05,0.5316260258234332
105,0.1,0.530484238249565
105,0.15,0.5303278446291332
105,0.2,0.5295664611215865
105,0.25,0.5282715687943481
105,0.3,0.5270442790081012
105,0.35,0.5257070876681735
105,0.4,0.5243449772049597
105,0.45,0.5220761227077375
105,0.5,0.521071983265439
105,0.55,0.5194589730525251
105,0.6,0.516916042340837
105,0.65,0.5131984093281929
105,0.7,0.5123381759968304
105,0.75,0.5091955047333203
105,0.8,0.5069899132060846
105,0.85,0.5030405680044947
105,0.9,0.5003884008594957
105,0.95,0.497608837873252
105,1.0,0.491283622254326
105,1.05,0.4881342678522568
105,1.1,0.4844296819607374
105,1.15,0.47978817170957955
105,1.2,0.4754517655111439
105,1.25,0.4710287581559422
105,1.3,0.4658149100626625
105,1.35,0.46022838362123036
105,1.4,0.45439600385080714
105,1.45,0.44958326594376335
105,1.5,0.44299259577250405
105,1.55,0.4372856789496152
105,1.6,0.43082866880744064
105,1.65,0.42475073164396954
105,1.7,0.4190963969175921
